word,yomi,syllables,season
巣箱,すばこ,3,spring
菫,すみれ,3,spring
李の花,すもものはな,6,spring
聖金曜日,せいきんようび,7,spring
誓子忌,せいしき,4,spring
製茶,せいちゃ,3,spring
清明,せいめい,4,spring
釈奠,せきてん,4,spring
芹,せり,2,spring
剪定,せんてい,4,spring
先帝祭,せんていさい,6,spring
薇,ぜんまい,4,spring
早春,そうしゅん,4,spring
卒業,そつぎょう,4,spring
蚕豆の花,そらまめのはな,7,spring
田打,たうち,3,spring
鷹鳩と化す,たかはととかす,7,spring
高山祭,たかやままつり,7,spring
耕,たがやし,4,spring
多喜二忌,たきじき,4,spring
啄木忌,たくぼくき,5,spring
竹の秋,たけのあき,5,spring
凧,たこ,2,spring
立子忌,たつこき,4,spring
達治忌,たつじき,4,spring
田螺,たにし,3,spring
種芋,たねいも,4,spring
種選,たねえらび,5,spring
種浸し,たねひたし,5,spring
種蒔,たねまき,4,spring
種物,たねもの,4,spring
たらの芽,たらのめ,4,spring
蒲公英,たんぽぽ,4,spring
大根の花,だいこんのはな,7,spring
暖炉納む,だんろおさむ,6,spring
萵苣,ちさ,2,spring
遅春,ちしゅん,3,spring
遅日,ちじつ,3,spring
父子草,ちちこぐさ,5,spring
茶摘,ちゃつみ,3,spring
仲春,ちゅうしゅん,4,spring
チューリップ,ちゅーりっぷ,5,spring
蝶,ちょう,2,spring
接木,つぎき,3,spring
土筆,つくし,3,spring
黄楊の花,つげのはな,5,spring
蔦の芽,つたのめ,4,spring
蔦若葉,つたわかば,5,spring
躑躅,つつじ,3,spring
角叉,つのまた,4,spring
椿,つばき,3,spring
椿餅,つばきもち,5,spring
茅花,つばな,3,spring
燕,つばめ,3,spring
燕の巣,つばめのす,5,spring
壷焼,つぼやき,4,spring
摘草,つみくさ,4,spring
田楽,でんがく,4,spring
東京大空襲忌,とうきょうだいきゅうしゅうき,11,spring
踏青,とうせい,4,spring
土佐水木,とさみずき,5,spring
友二忌,ともじき,4,spring
鶏合,とりあわせ,5,spring
鳥帰る,とりかえる,5,spring
鳥貝,とりがい,4,spring
鳥雲に入る,とりくもにいる,7,spring
鳥曇,とりぐもり,5,spring
鳥交る,とりさかる,5,spring
鳥の巣,とりのす,4,spring
満天星の花,どうだんのはな,7,spring
どんたく,どんたく,4,spring
苗木市,なえぎいち,5,spring
苗木植う,なえぎうう,5,spring
苗床,なえどこ,4,spring
苗札,なえふだ,4,spring
梨の花,なしのはな,5,spring
薺の花,なずなのはな,6,spring
菜種梅雨,なたねづゆ,5,spring
雪崩,なだれ,3,spring
夏近し,なつちかし,5,spring
夏蜜柑,なつみかん,5,spring
菜の花,なのはな,4,spring
菜飯,なめし,3,spring
苗代,なわしろ,4,spring
二月,にがつ,3,spring
二月礼者,にがつれいじゃ,6,spring
逃げ水,にげみず,4,spring
鰊,にしん,3,spring
蜷,にな,2,spring
入学,にゅうがく,4,spring
韮,にら,2,spring
接骨木の花,にわとこのはな,7,spring
蒜,にんにく,4,spring
蓴生ふ,ぬなはおう,5,spring
葱坊主,ねぎぼうず,5,spring
ネクタリン,ねくたりん,5,spring
猫の子,ねこのこ,4,spring
猫の恋,ねこのこい,5,spring
猫柳,ねこやなぎ,5,spring
ねぢあやめ,ねぢあやめ,5,spring
ねぢあやめ,ねぢあやめ,5,spring
涅槃会,ねはんえ,4,spring
涅槃西風,ねはんにし,5,spring
根分,ねわけ,3,spring
野遊び,のあそび,4,spring
乗込鮒,のっこみぶな,6,spring
長閑,のどか,3,spring
